hour symbol vwap
"2019-01-30 09:00:00+00:00" UGAZ 38.72
"2019-01-30 09:00:00+00:00" SPY 264.33
"2019-01-30 09:00:00+00:00" AMZN 1615.5
"2019-01-30 09:00:00+00:00" AAPL 162.62
"2019-01-30 09:00:00+00:00" TQQQ 42.71
"2019-01-30 09:00:00+00:00" PCG 13.55
"2019-01-30 09:00:00+00:00" MCD 182.39
"2019-01-30 09:00:00+00:00" NVDA 134.06
"2019-01-30 09:00:00+00:00" GLD 124.27
"2019-01-30 09:00:00+00:00" BABA 159.89
"2019-01-30 09:00:00+00:00" FB 145.21
"2019-01-30 09:00:00+00:00" VALE 11.87
"2019-01-30 09:00:00+00:00" AMD 20.82
"2019-01-30 09:00:00+00:00" TME 15.79
"2019-01-30 09:00:00+00:00" UVXY 59.41
"2019-01-30 09:00:00+00:00" TVIX 46.11
"2019-01-30 09:00:00+00:00" V 135.92
"2019-01-30 09:00:00+00:00" USLV 79.54
"2019-01-30 09:00:00+00:00" LRCX 168.1
"2019-01-30 09:00:00+00:00" TWTR 32.0
"2019-01-30 10:00:00+00:00" V 135.92
"2019-01-30 10:00:00+00:00" PCG 13.55
"2019-01-30 10:00:00+00:00" AMZN 1617.96
"2019-01-30 10:00:00+00:00" MLNX 98.19
"2019-01-30 10:00:00+00:00" AMD 20.87
"2019-01-30 10:00:00+00:00" NVDA 134.0
"2019-01-30 10:00:00+00:00" TSLA 297.68
"2019-01-30 10:00:00+00:00" AAPL 163.32
"2019-01-30 10:00:00+00:00" ZVZZT 10.02
"2019-01-30 10:00:00+00:00" FB 145.54
"2019-01-30 10:00:00+00:00" BABA 159.98
"2019-01-30 10:00:00+00:00" MSFT 103.97
"2019-01-30 10:00:00+00:00" SQ 69.83
"2019-01-30 10:00:00+00:00" GOGL 5.02
"2019-01-30 10:00:00+00:00" MU 38.11
"2019-01-30 10:00:00+00:00" QQQ 162.66
"2019-01-30 10:00:00+00:00" SAP 102.47
"2019-01-30 10:00:00+00:00" TME 15.62
"2019-01-30 10:00:00+00:00" ALGN 207.35
"2019-01-30 10:00:00+00:00" MO 46.9
"2019-01-30 10:00:00+00:00" QCOM 49.46
"2019-01-30 10:00:00+00:00" ASML 174.55
"2019-01-30 10:00:00+00:00" BTI 33.85
"2019-01-30 10:00:00+00:00" UGAZ 38.68
"2019-01-30 10:00:00+00:00" AGNC 18.08
"2019-01-30 10:00:00+00:00" BA 367.03
"2019-01-30 10:00:00+00:00" RDS.A 59.49
"2019-01-30 10:00:00+00:00" VALE 12.0
"2019-01-30 10:00:00+00:00" GLD 124.06
"2019-01-30 10:00:00+00:00" DGAZ 89.39
"2019-01-30 10:00:00+00:00" WHR 133.67
"2019-01-30 10:00:00+00:00" GME 11.35
"2019-01-30 10:00:00+00:00" SPY 264.3
"2019-01-30 11:00:00+00:00" DGAZ 89.37
"2019-01-30 11:00:00+00:00" SPY 264.29
"2019-01-30 11:00:00+00:00" BABA 160.93
"2019-01-30 11:00:00+00:00" AAPL 163.11
"2019-01-30 11:00:00+00:00" VALE 12.14
"2019-01-30 11:00:00+00:00" TSLA 297.8
"2019-01-30 11:00:00+00:00" AMD 20.9
"2019-01-30 11:00:00+00:00" NVDA 134.0
"2019-01-30 11:00:00+00:00" GE 9.01
"2019-01-30 11:00:00+00:00" INTC 46.42
"2019-01-30 11:00:00+00:00" MLNX 94.53
"2019-01-30 11:00:00+00:00" UGAZ 38.75
"2019-01-30 11:00:00+00:00" AMZN 1618.36
"2019-01-30 11:00:00+00:00" TVIX 46.14
"2019-01-30 11:00:00+00:00" ZVZZT 10.0
"2019-01-30 11:00:00+00:00" BIDU 166.62
"2019-01-30 11:00:00+00:00" NIO 6.97
"2019-01-30 11:00:00+00:00" WHR 134.24
"2019-01-30 11:00:00+00:00" JNPR 25.08
"2019-01-30 11:00:00+00:00" XLNX 111.07
"2019-01-30 11:00:00+00:00" PCG 13.54
"2019-01-30 11:00:00+00:00" SQ 69.45
"2019-01-30 11:00:00+00:00" TQQQ 42.78
"2019-01-30 11:00:00+00:00" FB 145.4
"2019-01-30 11:00:00+00:00" GOOGL 1076.49
"2019-01-30 11:00:00+00:00" DWT 9.35
"2019-01-30 11:00:00+00:00" RDS.A 59.76
"2019-01-30 11:00:00+00:00" EBAY 33.8
"2019-01-30 11:00:00+00:00" T 30.71
"2019-01-30 11:00:00+00:00" CCL 56.66
"2019-01-30 11:00:00+00:00" CUK 55.87
"2019-01-30 11:00:00+00:00" EWZ 44.02
"2019-01-30 11:00:00+00:00" TME 15.57
"2019-01-30 11:00:00+00:00" ADM 44.69
"2019-01-30 11:00:00+00:00" JD 23.95
"2019-01-30 12:00:00+00:00" BABA 160.29
"2019-01-30 12:00:00+00:00" UGAZ 38.97
"2019-01-30 12:00:00+00:00" DGAZ 88.84
"2019-01-30 12:00:00+00:00" WHR 134.18
"2019-01-30 12:00:00+00:00" F 8.74
"2019-01-30 12:00:00+00:00" EGHT 17.08
"2019-01-30 12:00:00+00:00" SQ 69.71
"2019-01-30 12:00:00+00:00" AAPL 162.98
"2019-01-30 12:00:00+00:00" AMZN 1621.0
"2019-01-30 12:00:00+00:00" PYPL 91.68
"2019-01-30 12:00:00+00:00" NIO 6.93
"2019-01-30 12:00:00+00:00" CGC 47.8
"2019-01-30 12:00:00+00:00" FB 145.63
"2019-01-30 12:00:00+00:00" PCG 13.54
"2019-01-30 12:00:00+00:00" NVDA 134.08
"2019-01-30 12:00:00+00:00" ALGN 206.48
"2019-01-30 12:00:00+00:00" TME 15.56
"2019-01-30 12:00:00+00:00" BIIB 323.12
"2019-01-30 12:00:00+00:00" TWTR 31.92
"2019-01-30 12:00:00+00:00" RWT 15.68
"2019-01-30 12:00:00+00:00" AMD 21.25
"2019-01-30 12:00:00+00:00" BIDU 166.96
